Source,Target,Type,id,weight,from,to
Aeron-Greyjoy,Victarion-Greyjoy,Undirected,85,20,9,745
Aerys-I-Targaryen,Robert-Baratheon,Undirected,86,3,10,603
Aerys-II-Targaryen,Arthur-Dayne,Undirected,87,5,11,47
Aerys-II-Targaryen,Barristan-Selmy,Undirected,88,4,11,65
Aerys-II-Targaryen,Brandon-Stark,Undirected,89,4,11,92
Aerys-II-Targaryen,Brienne-of-Tarth,Undirected,90,3,11,96
Aerys-II-Targaryen,Cersei-Lannister,Undirected,91,3,11,116
Aerys-II-Targaryen,Denys-Darklyn,Undirected,92,4,11,163
Aerys-II-Targaryen,Eddard-Stark,Undirected,93,15,11,190
Aerys-II-Targaryen,Elbert-Arryn,Undirected,94,3,11,195
Aerys-II-Targaryen,Gerold-Hightower,Undirected,95,3,11,243
Aerys-II-Targaryen,Jaime-Lannister,Undirected,96,37,11,337
Aerys-II-Targaryen,Joffrey-Baratheon,Undirected,97,6,11,355
Aerys-II-Targaryen,Jon-Arryn,Undirected,98,3,11,358
Aerys-II-Targaryen,Owen-Merryweather,Undirected,99,3,11,528
Aerys-II-Targaryen,Rhaegar-Targaryen,Undirected,100,14,11,589
Aerys-II-Targaryen,Robert-Baratheon,Undirected,101,35,11,603
Aerys-II-Targaryen,Rossart,Undirected,102,4,11,624
Aerys-II-Targaryen,Tyrion-Lannister,Undirected,103,9,11,727
Aerys-II-Targaryen,Tywin-Lannister,Undirected,104,26,11,730
Aerys-II-Targaryen,Viserys-Targaryen,Undirected,105,3,11,747
Aggar,Gariss,Undirected,106,3,12,229
Aggar,Gelmarr,Undirected,107,3,12,236
Aggar,Gynir,Undirected,108,3,12,274
Aggar,Ramsay-Snow,Undirected,109,4,12,574
Aggo,Barristan-Selmy,Undirected,110,3,13,65
Aggo,Belwas,Undirected,111,3,13,71
Aggo,Daario-Naharis,Undirected,112,4,13,146
Aggo,Daenerys-Targaryen,Undirected,113,30,13,149
Aggo,Drogo,Undirected,114,6,13,184
Aggo,Grey-Worm,Undirected,115,5,13,262
Aggo,Jhogo,Undirected,116,26,13,352
Aggo,Jorah-Mormont,Undirected,117,9,13,367
Aggo,Quaro,Undirected,118,3,13,563
Aggo,Rakharo,Undirected,119,23,13,571
Alayaya,Bronn,Undirected,120,3,14,97
Alayaya,Cersei-Lannister,Undirected,121,3,14,116
Alayaya,Dancy,Undirected,122,3,14,156
Alayaya,Tyrion-Lannister,Undirected,123,7,14,727
Albett,Halder,Undirected,124,3,15,280
Albett,Jon-Snow,Undirected,125,5,15,361
Albett,Rast,Undirected,126,3,15,576
Alebelly,Bran-Stark,Undirected,127,7,16,90
Alebelly,Hayhead,Undirected,128,3,16,297
Alebelly,Jojen-Reed,Undirected,129,6,16,356
Alebelly,Mikken,Undirected,130,3,16,475
Alerie-Hightower,Mace-Tyrell,Undirected,131,3,17,429
Alerie-Hightower,Margaery-Tyrell,Undirected,132,3,17,443
Alester-Florent,Axell-Florent,Undirected,133,4,18,54
Alester-Florent,Cortnay-Penrose,Undirected,134,4,18,139
Alester-Florent,Davos-Seaworth,Undirected,135,14,18,161
Alester-Florent,Lamprey,Undirected,136,3,18,393
Alester-Florent,Renly-Baratheon,Undirected,137,3,18,585
Alester-Florent,Selyse-Florent,Undirected,138,4,18,641
Alester-Florent,Stannis-Baratheon,Undirected,139,9,18,668
Alla-Tyrell,Elinor-Tyrell,Undirected,140,13,19,199
Alla-Tyrell,Margaery-Tyrell,Undirected,141,7,19,443
Alla-Tyrell,Megga-Tyrell,Undirected,142,16,19,462
Alla-Tyrell,Osney-Kettleblack,Undirected,143,3,19,521
Alla-Tyrell,Sansa-Stark,Undirected,144,4,19,634
Allar-Deem,Janos-Slynt,Undirected,145,3,20,339
Allar-Deem,Tyrion-Lannister,Undirected,146,4,20,727
Allard-Seaworth,Davos-Seaworth,Undirected,147,5,21,161
Allard-Seaworth,Marya-Seaworth,Undirected,148,5,21,455
Allard-Seaworth,Stannis-Baratheon,Undirected,149,3,21,668
Alleras,Armen,Undirected,150,5,22,40
Alleras,Leo-Tyrell,Undirected,151,7,22,403
Alleras,Marwyn,Undirected,152,3,22,454
Alleras,Mollander,Undirected,153,7,22,480
Alleras,Pate-(novice),Undirected,154,8,22,532
Alleras,Roone,Undirected,155,6,22,617
Alleras,Samwell-Tarly,Undirected,156,8,22,632
Alliser-Thorne,Bowen-Marsh,Undirected,157,3,23,89
Alliser-Thorne,Grenn,Undirected,158,3,23,260
Alliser-Thorne,Halder,Undirected,159,4,23,280
Alliser-Thorne,Janos-Slynt,Undirected,160,13,23,339
Alliser-Thorne,Jeor-Mormont,Undirected,161,13,23,346
Alliser-Thorne,Joffrey-Baratheon,Undirected,162,4,23,355
Alliser-Thorne,Jon-Snow,Undirected,163,63,23,361
Alliser-Thorne,Mance-Rayder,Undirected,164,6,23,440
Alliser-Thorne,Pypar,Undirected,165,4,23,556
Alliser-Thorne,Qhorin-Halfhand,Undirected,166,4,23,560
Alliser-Thorne,Rast,Undirected,167,5,23,576
Alliser-Thorne,Samwell-Tarly,Undirected,168,12,23,632
Alliser-Thorne,Stannis-Baratheon,Undirected,169,3,23,668
Alliser-Thorne,Tyrion-Lannister,Undirected,170,15,23,727
Alyn,Eddard-Stark,Undirected,171,11,24,190
Alyn,Harwin,Undirected,172,6,24,294
Alyn,Jory-Cassel,Undirected,173,8,24,369
Alyn,Robert-Baratheon,Undirected,174,4,24,603
Alyn,Tomard,Undirected,175,3,24,710
Alys-Arryn,Elys-Waynwood,Undirected,176,4,25,202
Alys-Arryn,Jon-Arryn,Undirected,177,3,25,358
Alys-Karstark,Jon-Snow,Undirected,178,13,26,361
Alys-Karstark,Melisandre,Undirected,179,6,26,465
Alys-Karstark,Sigorn,Undirected,180,5,26,654
Alysane-Mormont,Asha-Greyjoy,Undirected,181,18,27,51
Alysane-Mormont,Justin-Massey,Undirected,182,5,27,374
Alysane-Mormont,Stannis-Baratheon,Undirected,183,5,27,668
Amabel,Arya-Stark,Undirected,184,6,28,49
Amabel,Harra,Undirected,185,4,28,289
Amerei-Frey,Jaime-Lannister,Undirected,186,6,29,337
Amerei-Frey,Lancel-Lannister,Undirected,187,10,29,394
Amerei-Frey,Lyle-Crakehall,Undirected,188,4,29,423
Amory-Lorch,Arya-Stark,Undirected,189,9,30,49
Amory-Lorch,Cersei-Lannister,Undirected,190,4,30,116
Amory-Lorch,Chiswyck,Undirected,191,4,30,122
Amory-Lorch,Dunsen,Undirected,192,3,30,186
Amory-Lorch,Gendry,Undirected,193,3,30,238
Amory-Lorch,Gregor-Clegane,Undirected,194,10,30,259
Amory-Lorch,Hot-Pie,Undirected,195,3,30,315
Amory-Lorch,Ilyn-Payne,Undirected,196,4,30,328
Amory-Lorch,Jaime-Lannister,Undirected,197,3,30,337
Amory-Lorch,Joffrey-Baratheon,Undirected,198,7,30,355
Amory-Lorch,Meryn-Trant,Undirected,199,5,30,473
Amory-Lorch,Oberyn-Martell,Undirected,200,6,30,511
Amory-Lorch,Polliver,Undirected,201,3,30,543
Amory-Lorch,Rafford,Undirected,202,5,30,569
Amory-Lorch,Roose-Bolton,Undirected,203,3,30,618
Amory-Lorch,Sandor-Clegane,Undirected,204,5,30,633
Amory-Lorch,Tickler,Undirected,205,5,30,701
Amory-Lorch,Tywin-Lannister,Undirected,206,8,30,730
Amory-Lorch,Vargo-Hoat,Undirected,207,10,30,741
Amory-Lorch,Yoren,Undirected,208,5,30,791
Anders-Yronwood,Oberyn-Martell,Undirected,209,3,31,511
Anders-Yronwood,Quentyn-Martell,Undirected,210,4,31,565
Andrew-Estermont,Davos-Seaworth,Undirected,211,4,32,161
Andrew-Estermont,Edric-Storm,Undirected,212,4,32,193
Andrew-Estermont,Gerald-Gower,Undirected,213,3,32,240
Andrey-Dalt,Arianne-Martell,Undirected,214,10,33,39
Andrey-Dalt,Garin-(orphan),Undirected,215,11,33,228
Andrey-Dalt,Myrcella-Baratheon,Undirected,216,4,33,500
Andrey-Dalt,Sylva-Santagar,Undirected,217,8,33,680
Andrey-Dalt,Tyene-Sand,Undirected,218,4,33,726
Anguy,Arya-Stark,Undirected,219,15,34,49
Anguy,Beric-Dondarrion,Undirected,220,4,34,79
Anguy,Greenbeard,Undirected,221,9,34,258
Anguy,Harwin,Undirected,222,7,34,294
Anguy,Husband,Undirected,223,3,34,324
Anguy,Lem,Undirected,224,22,34,400
Anguy,Sandor-Clegane,Undirected,225,3,34,633
Anguy,Sharna,Undirected,226,6,34,648
Anguy,Tom-of-Sevenstreams,Undirected,227,12,34,709
Anya-Waynwood,Benedar-Belmore,Undirected,228,4,35,74
Anya-Waynwood,Gilwood-Hunter,Undirected,229,6,35,248
Anya-Waynwood,Harrold-Hardyng,Undirected,230,6,35,292
Anya-Waynwood,Horton-Redfort,Undirected,231,7,35,311
Anya-Waynwood,Petyr-Baelish,Undirected,232,10,35,539
Anya-Waynwood,Symond-Templeton,Undirected,233,6,35,683
Anya-Waynwood,Yohn-Royce,Undirected,234,5,35,790
Archibald-Yronwood,Cletus-Yronwood,Undirected,235,5,36,128
Archibald-Yronwood,Gerris-Drinkwater,Undirected,236,13,36,245
Archibald-Yronwood,Quentyn-Martell,Undirected,237,21,36,565
Archibald-Yronwood,Tattered-Prince,Undirected,238,4,36,692
Ardrian-Celtigar,Monford-Velaryon,Undirected,239,5,37,481
Areo-Hotah,Arianne-Martell,Undirected,240,28,38,39
Areo-Hotah,Arys-Oakheart,Undirected,241,11,38,50
Areo-Hotah,Balon-Swann,Undirected,242,4,38,62
Areo-Hotah,Caleotte,Undirected,243,7,38,107
Areo-Hotah,Doran-Martell,Undirected,244,44,38,179
Areo-Hotah,Ellaria-Sand,Undirected,245,3,38,200
Areo-Hotah,Myrcella-Baratheon,Undirected,246,5,38,500
Areo-Hotah,Obara-Sand,Undirected,247,13,38,510
Areo-Hotah,Oberyn-Martell,Undirected,248,3,38,511
Arianne-Martell,Arys-Oakheart,Undirected,249,19,39,50
Arianne-Martell,Balon-Swann,Undirected,250,5,39,62
Arianne-Martell,Cedra,Undirected,251,8,39,113
Arianne-Martell,Doran-Martell,Undirected,252,26,39,179
Arianne-Martell,Ellaria-Sand,Undirected,253,3,39,200
Arianne-Martell,Franklyn-Fowler,Undirected,254,3,39,220
Arianne-Martell,Garin-(orphan),Undirected,255,18,39,228
Arianne-Martell,Gerold-Dayne,Undirected,256,11,39,241
Arianne-Martell,Mellei,Undirected,257,3,39,466
Arianne-Martell,Morra,Undirected,258,3,39,488
Arianne-Martell,Myrcella-Baratheon,Undirected,259,16,39,500
Arianne-Martell,Obara-Sand,Undirected,260,5,39,510
Arianne-Martell,Oberyn-Martell,Undirected,261,3,39,511
Arianne-Martell,Quentyn-Martell,Undirected,262,8,39,565
Arianne-Martell,Ricasso,Undirected,263,3,39,595
Arianne-Martell,Sylva-Santagar,Undirected,264,10,39,680
Arianne-Martell,Timoth,Undirected,265,3,39,704
Arianne-Martell,Tyene-Sand,Undirected,266,4,39,726
Armen,Leo-Tyrell,Undirected,267,3,40,403
Armen,Marwyn,Undirected,268,3,40,454
Armen,Mollander,Undirected,269,3,40,480
Armen,Pate-(novice),Undirected,270,5,40,532
Armen,Roone,Undirected,271,4,40,617
Arnolf-Karstark,Arthor-Karstark,Undirected,272,3,41,46
Arnolf-Karstark,Asha-Greyjoy,Undirected,273,3,41,51
Arnolf-Karstark,Mors-Umber,Undirected,274,4,41,490
Arnolf-Karstark,Rickard-Karstark,Undirected,275,3,41,597
Arnolf-Karstark,Stannis-Baratheon,Undirected,276,7,41,668
Aron-Santagar,Sandor-Clegane,Undirected,277,3,42,633
Arron,Emrick,Undirected,278,6,43,207
Arron,Hareth-(Moles-Town),Undirected,279,4,43,286
Arron,Satin,Undirected,280,4,43,636
Arson,Jon-Snow,Undirected,281,3,44,361
Arstan,Belwas,Undirected,282,25,45,71
Arstan,Daenerys-Targaryen,Undirected,283,29,45,149
Arstan,Illyrio-Mopatis,Undirected,284,3,45,327
Arstan,Jhiqui,Undirected,285,3,45,351
Arstan,Jorah-Mormont,Undirected,286,13,45,367
Arstan,Kraznys-mo-Nakloz,Undirected,287,3,45,388
Arstan,Mero,Undirected,288,7,45,470
Arstan,Rhaegar-Targaryen,Undirected,289,7,45,589
Arthur-Dayne,Gerold-Hightower,Undirected,290,9,47,243
Arthur-Dayne,Lewyn-Martell,Undirected,291,3,47,407
Arthur-Dayne,Rhaegar-Targaryen,Undirected,292,3,47,589
Arthur-Dayne,Smiling-Knight,Undirected,293,4,47,659
Arwyn-Oakheart,Randyll-Tarly,Undirected,294,3,48,575
Arya-Stark,Bellegere-Otherys,Undirected,295,3,49,70
Arya-Stark,Benjen-Stark,Undirected,296,3,49,78
Arya-Stark,Beric-Dondarrion,Undirected,297,28,49,79
Arya-Stark,Biter,Undirected,298,10,49,82
Arya-Stark,Bran-Stark,Undirected,299,40,49,90
Arya-Stark,Brea,Undirected,300,5,49,93
Arya-Stark,Brusco,Undirected,301,10,49,99
Arya-Stark,Brynden-Tully,Undirected,302,4,49,102
Arya-Stark,Catelyn-Stark,Undirected,303,8,49,111
Arya-Stark,Cersei-Lannister,Undirected,304,25,49,116
Arya-Stark,Chiswyck,Undirected,305,8,49,122
Arya-Stark,Dareon,Undirected,306,5,49,158
Arya-Stark,Denyo-Terys,Undirected,307,8,49,162
Arya-Stark,Desmond,Undirected,308,3,49,166
Arya-Stark,Dobber,Undirected,309,4,49,173
Arya-Stark,Dunsen,Undirected,310,6,49,186
Arya-Stark,Eddard-Stark,Undirected,311,46,49,190
Arya-Stark,Elmar-Frey,Undirected,312,4,49,201
Arya-Stark,Gendry,Undirected,313,82,49,238
Arya-Stark,Greenbeard,Undirected,314,9,49,258
Arya-Stark,Gregor-Clegane,Undirected,315,10,49,259
Arya-Stark,Harra,Undirected,316,3,49,289
Arya-Stark,Harren-Hoare,Undirected,317,7,49,291
Arya-Stark,Harwin,Undirected,318,17,49,294
Arya-Stark,Hot-Pie,Undirected,319,76,49,315
Arya-Stark,Ilyn-Payne,Undirected,320,8,49,328
Arya-Stark,Jaime-Lannister,Undirected,321,13,49,337
Arya-Stark,Jaqen-Hghar,Undirected,322,25,49,340
Arya-Stark,Jeyne-Poole,Undirected,323,14,49,349
Arya-Stark,Joffrey-Baratheon,Undirected,324,53,49,355
Arya-Stark,Jon-Snow,Undirected,325,71,49,361
Arya-Stark,Jory-Cassel,Undirected,326,12,49,369
Arya-Stark,Kindly-Man,Undirected,327,17,49,385
Arya-Stark,Koss,Undirected,328,3,49,387
Arya-Stark,Lem,Undirected,329,24,49,400
Arya-Stark,Lommy-Greenhands,Undirected,330,31,49,410
Arya-Stark,Mad-Huntsman,Undirected,331,4,49,430
Arya-Stark,Mance-Rayder,Undirected,332,3,49,440
Arya-Stark,Melisandre,Undirected,333,4,49,465
Arya-Stark,Meralyn,Undirected,334,9,49,467
Arya-Stark,Meryn-Trant,Undirected,335,7,49,473
Arya-Stark,Mordane,Undirected,336,39,49,485
Arya-Stark,Mycah,Undirected,337,24,49,496
Arya-Stark,Myrcella-Baratheon,Undirected,338,13,49,500
Arya-Stark,Nan,Undirected,339,17,49,502
Arya-Stark,Pate-(Old),Undirected,340,4,49,533
Arya-Stark,Petyr-Baelish,Undirected,341,3,49,539
Arya-Stark,Polliver,Undirected,342,14,49,543
Arya-Stark,Praed,Undirected,343,3,49,548
Arya-Stark,Rafford,Undirected,344,10,49,569
Arya-Stark,Ramsay-Snow,Undirected,345,5,49,574
Arya-Stark,Ravella-Swann,Undirected,346,7,49,578
Arya-Stark,Rickon-Stark,Undirected,347,20,49,599
Arya-Stark,Robb-Stark,Undirected,348,44,49,601
Arya-Stark,Robert-Baratheon,Undirected,349,17,49,603
Arya-Stark,Rodrik-Cassel,Undirected,350,3,49,608
Arya-Stark,Roose-Bolton,Undirected,351,21,49,618
Arya-Stark,Rorge,Undirected,352,13,49,620
Arya-Stark,Sandor-Clegane,Undirected,353,58,49,633
Arya-Stark,Sansa-Stark,Undirected,354,155,49,634
Arya-Stark,Syrio-Forel,Undirected,355,29,49,684
Arya-Stark,Talea,Undirected,356,4,49,687
Arya-Stark,Ternesio-Terys,Undirected,357,5,49,693
Arya-Stark,Theon-Greyjoy,Undirected,358,7,49,697
Arya-Stark,Thoros-of-Myr,Undirected,359,21,49,700
Arya-Stark,Tickler,Undirected,360,5,49,701
Arya-Stark,Tom-of-Sevenstreams,Undirected,361,24,49,709
Arya-Stark,Tomard,Undirected,362,6,49,710
Arya-Stark,Tommen-Baratheon,Undirected,363,5,49,711
Arya-Stark,Tyrion-Lannister,Undirected,364,11,49,727
Arya-Stark,Tywin-Lannister,Undirected,365,13,49,730
Arya-Stark,Umma,Undirected,366,6,49,733
Arya-Stark,Vargo-Hoat,Undirected,367,6,49,741
Arya-Stark,Vayon-Poole,Undirected,368,4,49,744
Arya-Stark,Waif,Undirected,369,20,49,750
Arya-Stark,Weasel,Undirected,370,10,49,760
Arya-Stark,Weese,Undirected,371,15,49,762
Arya-Stark,Woth,Undirected,372,3,49,776
Arya-Stark,Yoren,Undirected,373,32,49,791
Arya-Stark,Yorko-Terys,Undirected,374,6,49,792
Arys-Oakheart,Cersei-Lannister,Undirected,375,3,50,116
Arys-Oakheart,Doran-Martell,Undirected,376,3,50,179
Arys-Oakheart,Garin-(orphan),Undirected,377,3,50,228
Arys-Oakheart,Gerold-Dayne,Undirected,378,6,50,241
Arys-Oakheart,Joffrey-Baratheon,Undirected,379,6,50,355
Arys-Oakheart,Myrcella-Baratheon,Undirected,380,22,50,500
Arys-Oakheart,Sansa-Stark,Undirected,381,3,50,634
Asha-Greyjoy,Balon-Greyjoy,Undirected,382,15,51,61
Asha-Greyjoy,Clayton-Suggs,Undirected,383,4,51,124
Asha-Greyjoy,Dagmer,Undirected,384,5,51,152
Asha-Greyjoy,Euron-Greyjoy,Undirected,385,23,51,211
Asha-Greyjoy,Galbart-Glover,Undirected,386,8,51,225
Asha-Greyjoy,Godry-Farring,Undirected,387,3,51,250
Asha-Greyjoy,Grimtongue,Undirected,388,3,51,265
Asha-Greyjoy,Hagen,Undirected,389,3,51,275
Asha-Greyjoy,Justin-Massey,Undirected,390,15,51,374
Asha-Greyjoy,Qarl-the-Maid,Undirected,391,8,51,557
Asha-Greyjoy,Red-Oarsman,Undirected,392,3,51,583
Asha-Greyjoy,Robert-Baratheon,Undirected,393,4,51,603
Asha-Greyjoy,Rodrik-Harlaw,Undirected,394,7,51,609
Asha-Greyjoy,Rolfe-the-Dwarf,Undirected,395,3,51,612
Asha-Greyjoy,Stannis-Baratheon,Undirected,396,16,51,668
Asha-Greyjoy,Sybelle-Glover,Undirected,397,3,51,679
Asha-Greyjoy,Theon-Greyjoy,Undirected,398,48,51,697
Asha-Greyjoy,Torgon-Greyiron,Undirected,399,3,51,715
Asha-Greyjoy,Tristifer-Botley,Undirected,400,16,51,721
Asha-Greyjoy,Tycho-Nestoris,Undirected,401,3,51,725
Asha-Greyjoy,Victarion-Greyjoy,Undirected,402,10,51,745
Asha-Greyjoy,Wex-Pyke,Undirected,403,3,51,765
Ashara-Dayne,Elia-Martell,Undirected,404,3,52,198
Aurane-Waters,Cersei-Lannister,Undirected,405,9,53,116
Aurane-Waters,Gyles-Rosby,Undirected,406,3,53,273
Aurane-Waters,Harys-Swyft,Undirected,407,5,53,296
Aurane-Waters,Loras-Tyrell,Undirected,408,3,53,412
Aurane-Waters,Margaery-Tyrell,Undirected,409,5,53,443
Aurane-Waters,Orton-Merryweather,Undirected,410,3,53,517
Aurane-Waters,Paxter-Redwyne,Undirected,411,3,53,536
Aurane-Waters,Stannis-Baratheon,Undirected,412,3,53,668
Aurane-Waters,Tommen-Baratheon,Undirected,413,3,53,711
Axell-Florent,Davos-Seaworth,Undirected,414,21,54,161
Axell-Florent,Jon-Snow,Undirected,415,4,54,361
Axell-Florent,Lamprey,Undirected,416,5,54,393
Axell-Florent,Melisandre,Undirected,417,9,54,465
Axell-Florent,Porridge,Undirected,418,5,54,545
Axell-Florent,Salladhor-Saan,Undirected,419,3,54,630
Axell-Florent,Selyse-Florent,Undirected,420,19,54,641
Axell-Florent,Shireen-Baratheon,Undirected,421,3,54,649
Axell-Florent,Stannis-Baratheon,Undirected,422,25,54,668
Azor-Ahai,Stannis-Baratheon,Undirected,423,6,55,668
Bael-the-Bard,Ygritte,Undirected,424,5,56,789
Baelor-Blacktyde,Balon-Greyjoy,Undirected,425,3,57,61
Baelor-Blacktyde,Euron-Greyjoy,Undirected,426,4,57,211
Baelor-Blacktyde,Victarion-Greyjoy,Undirected,427,4,57,745
Baelor-I-Targaryen,Cersei-Lannister,Undirected,428,8,58,116
Baelor-I-Targaryen,Sansa-Stark,Undirected,429,3,58,634
Baelor-I-Targaryen,Tyrion-Lannister,Undirected,430,3,58,727
Ballabar,Frenken,Undirected,431,4,59,221
Ballabar,Podrick-Payne,Undirected,432,3,59,542
Ballabar,Tyrion-Lannister,Undirected,433,16,59,727
Balman-Byrch,Bronn,Undirected,434,7,60,97
Balman-Byrch,Cersei-Lannister,Undirected,435,7,60,116
